province,x,y
Varna,400.0,97.0
Burgas,299.0,-13.0
Sofia,-358.0,-15.0
Dobrich,446.0,245.0
Silistra,272.0,331.0
Shumen,261.0,155.0
Ruse,52.0,239.0
Razgrad,192.0,240.0
Targovishte,136.0,128.0
Sliven,118.0,-7.0
Yambol,187.0,-113.0
Kardzali,-37.0,-331.0
Haskovo,50.0,-232.0
Stara Zagora,-35.0,-79.0
Veliko Tarnovo,-18.0,129.0
Gabrovo,-86.0,50.0
Pleven,-210.0,208.0
Lovech,-227.0,73.0
Plovdiv,-174.0,-123.0
Smolyan,-174.0,-302.0
Pazardjik,-308.0,-199.0
Blagoevgrad,-449.0,-273.0
Kiystendil,-546.0,-135.0
Pernik,-536.0,-34.0
Vratsa,-377.0,166.0
Montana,-479.0,199.0
Vidin,-576.0,276.0
